CustomerID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,KMeans_Label,Cluster_Name,Heuristic_Segment
15497,35,9,1764.6845799999999,4,2,2,8,3,Loyal Customers,Potential Loyalists
15498,79,85,11241.10534,3,4,4,11,1,VIP Customers,Loyal Customers
15502,291,22,4218.90775,1,3,4,8,0,Regular Customers,Loyal Customers
15503,243,39,3744.71952,1,4,3,8,0,Regular Customers,Loyal Customers
15510,126,1,22.6442,3,1,1,5,2,At Risk Customers,New Customers
15512,209,4,147.65412,2,1,1,4,2,At Risk Customers,Hibernating
15513,54,18,4738.36712,4,3,4,11,3,Loyal Customers,Loyal Customers
15514,221,52,6880.066830000001,2,4,4,10,0,Regular Customers,Loyal Customers
15518,70,28,4089.53692,3,4,4,11,3,Loyal Customers,Loyal Customers
15525,357,36,8458.92625,1,4,4,9,0,Regular Customers,Loyal Customers
15527,44,17,3038.4615000000003,4,3,3,10,3,Loyal Customers,Loyal Customers
15529,96,42,8094.00057,3,4,4,11,3,Loyal Customers,Loyal Customers
15532,194,29,6127.65592,2,4,4,10,0,Regular Customers,Loyal Customers
15535,118,30,3605.2366,3,4,3,10,3,Loyal Customers,Loyal Customers
15544,344,15,2155.23582,1,3,3,7,0,Regular Customers,Loyal Customers
